text	language,clean_text,text_length
niko job leo	swahili,niko job leo swahili,20
ninapenda party sana	swahili,ninapenda party sana swahili,28
tunakutana kibanda jioni	swahili,tunakutana kibanda jioni swahili,32
tunakutana kibanda jioni	swahili,tunakutana kibanda jioni swahili,32
niko naenda base	swahili,niko naenda base swahili,24
ninapenda game sana	swahili,ninapenda game sana swahili,27
niko town leo	swahili,niko town leo swahili,21
tutaenda market kesho	swahili,tutaenda market kesho swahili,29
niko naenda town	swahili,niko naenda town swahili,24
tutaenda soko kesho	swahili,tutaenda soko kesho swahili,27
niko naenda kibanda	swahili,niko naenda kibanda swahili,27
tunakutana job jioni	swahili,tunakutana job jioni swahili,28
ninapenda party sana	swahili,ninapenda party sana swahili,28
tunakutana soko jioni	swahili,tunakutana soko jioni swahili,29
niko naenda soko	swahili,niko naenda soko swahili,24
tafadhali leta movie	swahili,tafadhali leta movie swahili,28
niko soko leo	swahili,niko soko leo swahili,21
niko soko leo	swahili,niko soko leo swahili,21
tunakutana market jioni	swahili,tunakutana market jioni swahili,31
ninapenda party sana	swahili,ninapenda party sana swahili,28
niko kazini office	swahili,niko kazini office swahili,26
tunakutana office jioni	swahili,tunakutana office jioni swahili,31
niko naenda soko	swahili,niko naenda soko swahili,24
ninaenda base sasa	swahili,ninaenda base sasa swahili,26
tafadhali leta story	swahili,tafadhali leta story swahili,28
tafadhali leta idea	swahili,tafadhali leta idea swahili,27
niko kazini job	swahili,niko kazini job swahili,23
tunakutana town jioni	swahili,tunakutana town jioni swahili,29
tutakutana soko leo	swahili,tutakutana soko leo swahili,27
ninaenda base sasa	swahili,ninaenda base sasa swahili,26
hii food ni nzuri	swahili,hii food ni nzuri swahili,25
ninapenda chakula sana	swahili,ninapenda chakula sana swahili,30
niko naenda center	swahili,niko naenda center swahili,26
hii story ni nzuri	swahili,hii story ni nzuri swahili,26
tunakutana town jioni	swahili,tunakutana town jioni swahili,29
niko job leo	swahili,niko job leo swahili,20
ninapenda kitu sana	swahili,ninapenda kitu sana swahili,27
tutaenda base kesho	swahili,tutaenda base kesho swahili,27
ninapenda chakula sana	swahili,ninapenda chakula sana swahili,30
tafadhali leta chakula	swahili,tafadhali leta chakula swahili,30
niko soko leo	swahili,niko soko leo swahili,21
tutakutana job leo	swahili,tutakutana job leo swahili,26
niko kazini school	swahili,niko kazini school swahili,26
tunakutana job jioni	swahili,tunakutana job jioni swahili,28
niko naenda town	swahili,niko naenda town swahili,24
